,property_type,place_name,state_name,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,rooms,terraza,patio,parrilla,salon,laundry,pileta,cochera,estado_nuevo,estado_a_reciclar
87962,apartment,Chacarita,Capital Federal,-34.5901808,-58.449152100000006,112860.0,51.0,48.0,2212.9411764705883,2.0,1,0,1,0,0,1,0,0,0
87964,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,118743.0,53.0,48.0,2240.433962264151,2.0,0,0,0,0,0,0,0,0,0
87967,apartment,Flores,Capital Federal,-34.635117947800005,-58.4739639408,92000.0,38.0,34.0,2421.0526315789475,1.0,0,0,1,0,0,1,0,0,0
87973,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,802200.0,115.0,80.0,6975.652173913043,5.0,1,0,1,0,0,0,1,0,0
87974,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,128920.0,62.0,48.0,2079.3548387096776,4.0,1,0,1,0,0,0,1,0,0
87975,apartment,San Telmo,Capital Federal,-34.6247504837,-58.379148244899994,67328.0,34.0,31.0,1980.235294117647,2.0,0,0,1,0,1,0,1,1,0
87977,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,56700.0,22.0,22.0,2577.2727272727275,2.0,0,0,0,0,0,0,0,0,0
87980,apartment,Caballito,Capital Federal,-34.6159343242,-58.4582604535,170000.0,67.0,60.0,2537.313432835821,3.0,0,0,1,0,0,1,0,0,0
87985,apartment,Villa Crespo,Capital Federal,-34.5976786,-58.4430195,54499.0,32.0,30.0,1703.09375,1.0,0,0,0,0,0,0,0,0,0
87986,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,122815.0,56.0,47.0,2193.125,4.0,1,0,1,0,0,0,1,0,0
87989,apartment,San Telmo,Capital Federal,-34.6247504837,-58.379148244899994,63262.0,34.0,31.0,1860.6470588235295,2.0,0,0,1,0,1,0,1,1,0
87990,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,1229550.0,185.0,137.0,6646.216216216216,5.0,1,0,1,0,0,0,1,0,0
87992,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,130113.0,55.0,48.0,2365.690909090909,2.0,0,0,0,0,0,0,0,0,0
87998,apartment,San Telmo,Capital Federal,-34.6247504837,-58.379148244899994,69504.0,38.0,35.0,1829.0526315789473,2.0,0,0,1,0,1,0,1,1,0
88000,apartment,Villa Crespo,Capital Federal,-34.5976786,-58.4430195,54234.0,32.0,30.0,1694.8125,1.0,0,0,0,0,0,0,0,0,0
88001,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,83679.0,36.0,30.0,2324.4166666666665,4.0,1,0,1,0,0,0,1,0,0
88002,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,1234800.0,185.0,137.0,6674.594594594595,5.0,1,0,1,0,0,0,1,0,0
88003,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,62900.0,25.0,25.0,2516.0,2.0,0,0,0,0,0,0,0,0,0
88008,PH,Capital Federal,Capital Federal,-34.6108622,-58.4117063,175000.0,120.0,75.0,1458.3333333333333,3.0,1,1,0,0,0,0,0,1,0
88013,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,111496.0,45.0,36.0,2477.688888888889,2.0,0,0,0,0,0,0,0,0,0
88014,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,1267350.0,185.0,137.0,6850.540540540541,5.0,1,0,1,0,0,0,1,0,0
88016,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,111643.0,51.0,42.0,2189.078431372549,4.0,1,0,1,0,0,0,1,0,0
88017,apartment,Villa Crespo,Capital Federal,-34.5976786,-58.4430195,55580.0,32.0,30.0,1736.875,1.0,0,0,0,0,0,0,0,0,0
88025,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,131900.0,53.0,48.0,2488.6792452830186,2.0,0,0,0,0,0,0,0,1,0
88028,apartment,Villa Crespo,Capital Federal,-34.5976786,-58.4430195,55040.0,32.0,30.0,1720.0,1.0,0,0,0,0,0,0,0,0,0
88031,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,150180.0,77.0,58.0,1950.3896103896104,4.0,1,0,1,0,0,0,1,0,0
88032,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,1277850.0,185.0,137.0,6907.2972972972975,5.0,1,0,1,0,0,0,1,0,0
88036,apartment,San Telmo,Capital Federal,-34.6234817427,-58.37647300840001,22400.0,13.0,13.0,1723.076923076923,2.0,0,0,0,0,0,0,0,0,0
88042,apartment,Flores,Capital Federal,-34.6291721071,-58.4607985522,73000.0,34.0,28.0,2147.0588235294117,1.0,1,0,0,0,1,0,0,0,0
88043,apartment,Caballito,Capital Federal,-34.6222111,-58.43912829999999,69500.0,32.0,30.0,2171.875,1.0,0,0,0,0,0,0,0,0,0
88048,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,178817.0,87.0,69.0,2055.367816091954,4.0,1,0,1,0,0,0,1,0,0
88049,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,1283100.0,185.0,137.0,6935.675675675676,5.0,1,0,1,0,0,0,1,0,0
88056,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,1622250.0,253.0,186.0,6412.055335968379,5.0,1,0,1,0,0,0,1,0,0
88058,apartment,Villa Crespo,Capital Federal,-34.5976786,-58.4430195,79673.0,47.0,44.0,1695.1702127659576,1.0,0,0,0,0,0,0,0,0,0
88062,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,124489.0,60.0,41.0,2074.8166666666666,4.0,1,0,1,0,0,0,1,0,0
88069,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,1639050.0,253.0,186.0,6478.458498023715,5.0,1,0,1,0,0,0,1,0,0
88070,apartment,Villa Crespo,Capital Federal,-34.5976786,-58.4430195,79285.0,47.0,44.0,1686.9148936170213,1.0,0,0,0,0,0,0,0,0,0
88072,apartment,Villa Crespo,Capital Federal,-34.6030221287,-58.4398999362,91000.0,42.0,32.0,2166.6666666666665,1.0,0,0,0,0,0,1,1,1,0
88073,store,Nuñez,Capital Federal,-34.553577600000004,-58.45551139999999,600000.0,225.0,225.0,2666.6666666666665,1.0,0,0,0,0,0,0,0,0,0
88075,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,132143.0,62.0,48.0,2131.3387096774195,4.0,1,0,1,0,0,0,1,0,0
88079,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,1678950.0,253.0,186.0,6636.166007905138,5.0,1,0,1,0,0,0,1,0,0
88081,apartment,Villa Crespo,Capital Federal,-34.5976786,-58.4430195,141668.0,75.0,65.0,1888.9066666666668,1.0,0,0,0,0,0,0,0,0,0
